Name,Display Name,Type,Description,Preferred Location,Retiring,Retiring Date
CM3282,Gold Number 5 Charm,Inventory Item,Gold Number 5 Charm,Main Warehouse,Yes,1/5/2015
CM3283,Gold Number 6 Charm,Inventory Item,Gold Number 6 Charm,Main Warehouse,Yes,1/5/2015
CM3284,Gold Number 7 Charm,Inventory Item,Gold Number 7 Charm,Main Warehouse,Yes,1/5/2015
CM3285,Gold Number 8 Charm,Inventory Item,Gold Number 8 Charm,Main Warehouse,Yes,1/5/2015
CM3286,Gold Number 9 Charm,Inventory Item,Gold Number 9 Charm,Main Warehouse,Yes,1/5/2015
CM3287,Grandma in Gold Heart Charm,Inventory Item,Grandma in Gold Heart Charm,Main Warehouse,No,
CM3288,Sister in Gold Heart Charm,Inventory Item,Sister in Gold Heart Charm,Main Warehouse,Yes,31/12/2016
CM3289,I Love U in Silver Charm,Inventory Item,I Love U in Silver Charm,Main Warehouse,Yes,1/5/2015
CM3290,I Love U in Gold Charm,Inventory Item,I Love U in Gold Charm,Main Warehouse,Yes,1/5/2015
CM3291,Blue Heart with Wings Charm,Inventory Item,Blue Heart with Wings Charm,Main Warehouse,Yes,1/5/2015
CM3292,Gold Double Heart Charm,Inventory Item,Gold Double Heart Charm,Main Warehouse,Yes,31/12/2017
CM3293,13th Charm,Inventory Item,13th Charm,Main Warehouse,Yes,31/12/2016
CM3294,18th Charm,Inventory Item,18th Charm,Main Warehouse,Yes,31/12/2016
CM3295,21st Charm,Inventory Item,21st Charm,Main Warehouse,Yes,31/12/2016
CM3296,30th Charm,Inventory Item,30th Charm,Main Warehouse,Yes,31/12/2016
CM3297,50th Charm,Inventory Item,50th Charm,Main Warehouse,Yes,31/12/2016
CM3298,Rainbow Charm,Inventory Item,Rainbow Charm,Main Warehouse,Yes,31/12/2017
CM3299,Mustache Charm,Inventory Item,Mustache Charm,Main Warehouse,Yes,31/12/2016
CM3300,New Zealand Fern Charm,Inventory Item,New Zealand Fern Charm,Main Warehouse,No,
CM3301,New Zealand Flag Charm,Inventory Item,New Zealand Flag Charm,Main Warehouse,No,
CM3302,Australian Flag Charm,Inventory Item,Australian Flag Charm,Main Warehouse,Yes,31/12/2017
CM3303,Microphone Charm,Inventory Item,Microphone Charm,Main Warehouse,No,
CM3304,Phone Charm,Inventory Item,Phone Charm,Main Warehouse,Yes,31/12/2016
CM3305,Silver Birdcage Charm,Inventory Item,Silver Birdcage Charm,Main Warehouse,Yes,30/4/2018
CM3306,Rose Gold Birdcage Charm,Inventory Item,Rose Gold Birdcage Charm,Main Warehouse,Yes,31/12/2017
CM3307,Present Charm,Inventory Item,Present Charm,Main Warehouse,No,
CM3308,Silver Star Charm,Inventory Item,Silver Star Charm,Main Warehouse,No,
CM3309,Gold Star Charm,Inventory Item,Gold Star Charm,Main Warehouse,No,
CM3310,Rose Gold Star Charm,Inventory Item,Rose Gold Star Charm,Main Warehouse,No,
CM3311,Sunglasses Charm,Inventory Item,Sunglasses Charm,Main Warehouse,Yes,31/12/2016
CM3312,Lightning Bolt Charm,Inventory Item,Lightning Bolt Charm,Main Warehouse,Yes,31/12/2016
CM3313,LOL Charm,Inventory Item,LOL Charm,Main Warehouse,Yes,31/12/2016
